round,accuracy,precision,recall,f1,avg_client_loss,algorithm
1,0.9101,0.9169,0.9101,0.9055,0.5049,FedAvg
2,0.9749,0.9754,0.9749,0.9747,0.1651,FedAvg
3,0.9854,0.9855,0.9854,0.9853,0.1047,FedAvg
4,0.9896,0.9898,0.9896,0.9895,0.0715,FedAvg
5,0.9916,0.9918,0.9916,0.9916,0.0653,FedAvg
6,0.9927,0.9928,0.9927,0.9927,0.0723,FedAvg
7,0.9937,0.9938,0.9937,0.9937,0.0589,FedAvg
8,0.9916,0.9917,0.9916,0.9916,0.0478,FedAvg
9,0.9916,0.9917,0.9916,0.9916,0.0469,FedAvg
10,0.9927,0.9928,0.9927,0.9927,0.0385,FedAvg
1,0.884,0.8933,0.884,0.879,0.514,FedProx
2,0.9676,0.9687,0.9676,0.9673,0.1669,FedProx
3,0.9812,0.9813,0.9812,0.9811,0.0988,FedProx
4,0.9833,0.9837,0.9833,0.9832,0.0769,FedProx
5,0.9896,0.9896,0.9896,0.9895,0.067,FedProx
6,0.9896,0.9897,0.9896,0.9895,0.0636,FedProx
7,0.9927,0.9928,0.9927,0.9927,0.0576,FedProx
8,0.9916,0.9917,0.9916,0.9916,0.0512,FedProx
9,0.9937,0.9938,0.9937,0.9937,0.0485,FedProx
10,0.9948,0.9948,0.9948,0.9948,0.0542,FedProx
