Round,Accuracy,Precision,Recall,F1-Score
1,0.9134518000184145,0.8981514346654162,0.827606162934753,0.8293414818324502
2,0.9741276125586963,0.9721603491837475,0.9431982090781452,0.9505342521759327
3,0.9870177700027621,0.9850820516826317,0.9738673615050777,0.9784820930937199
4,0.990884817235982,0.9891570913618578,0.9819797535195769,0.9850322846515016
5,0.9924500506399042,0.9902187881819391,0.9844717989511015,0.9868585893408889
6,0.9940152840438266,0.9925405290670235,0.9886845252972851,0.9904219972203867
7,0.9943835742565141,0.9927296606126177,0.9890412349287321,0.9906947517310545
8,0.9953042997882331,0.9946210917446497,0.9901867991890707,0.9922178306180282
9,0.9955805174477488,0.9944270647616604,0.991307367904704,0.9927449618312352
10,0.9960408802136084,0.9950445177479659,0.9923639165299547,0.9936310732597715
