round,split,selected_clients,train_samples,mean_local_loss,loss,accuracy,precision_macro,recall_macro,f1_macro,round_seconds
1,val,0|1|2|3|4,43429,1.8717646267133603,6.1614252308406625,0.12645375669189587,0.009053878649866866,0.05023897299134573,0.014229669785398998,2075.672156572342
2,val,0|1|2|3|4,43429,1.1098302298652776,0.8911782853251698,0.7212479232047259,0.7548746194169439,0.6355667000560159,0.6496151535961191,1910.1848361492157
3,val,0|1|2|3|4,43429,0.7459173437087412,0.37119709164624903,0.8796381761122393,0.8680628984957577,0.84301361922999,0.8458869529092372,1909.338630914688
4,val,0|1|2|3|4,43429,0.5866035634947612,0.24551870996978026,0.9150821487908436,0.8999567065263843,0.8926631891182923,0.891586661078289,1909.2664210796356
5,val,0|1|2|3|4,43429,0.49405995316146056,0.2176798272225301,0.9274506184234816,0.9094664967160329,0.9090425739665787,0.9056911486910941,1909.893973827362
6,val,0|1|2|3|4,43429,0.43496679165838836,0.20604279112481358,0.9324349270814104,0.9313671446433045,0.9137931561809145,0.9189520956293116,1908.9514300823212
7,val,0|1|2|3|4,43429,0.3938460638220696,0.16598150090623742,0.9440649806165774,0.9344942628481829,0.9281122172209061,0.9289111829115192,1913.1097524166107
8,val,0|1|2|3|4,43429,0.3638288519427399,0.14778781328910784,0.9514491415912867,0.9401897736010701,0.9390673026455274,0.937299170257286,1910.4224820137024
9,val,0|1|2|3|4,43429,0.33804793634178004,0.13053272239821234,0.9568026582979509,0.9480371640076731,0.9439362117413557,0.9451237143434608,1909.4887688159943
10,val,0|1|2|3|4,43429,0.3165456864229568,0.12046667011391089,0.9623407790289829,0.957764015021671,0.9515553578434985,0.9537870313975056,1911.7797117233276
11,val,0|1|2|3|4,43429,0.3013682998638765,0.11041775975051084,0.9630791951264538,0.9511521216650941,0.952846310345902,0.95137848176812,1910.9376091957092
12,val,0|1|2|3|4,43429,0.29092456626233315,0.11075989582099795,0.9660328595163374,0.9609386539105822,0.9562163740703223,0.9574997959255536,1910.9667921066284
13,val,0|1|2|3|4,43429,0.2747434620872852,0.1307356286548437,0.9590179065903637,0.9481745420625933,0.949594101864652,0.9470935906802161,1910.739012002945
14,val,0|1|2|3|4,43429,0.265680550253772,0.10787884420643923,0.9654790474432343,0.9589449607536537,0.9552629698894572,0.9562685822846766,1910.9814822673798
15,val,0|1|2|3|4,43429,0.2583780748593648,0.11487034188907745,0.9649252353701311,0.9569809307231821,0.956561833831623,0.9557986179075345,1909.8994381427765
16,val,0|1|2|3|4,43429,0.24483156614142523,0.11169021827929879,0.9649252353701311,0.955643940090099,0.9538151088676858,0.9535925515810671,1911.2415571212769
17,val,0|1|2|3|4,43429,0.24228061054401814,0.1023151775959928,0.9680635037843826,0.9614998156647984,0.9565858974720773,0.9581617125489972,1911.0105020999908
18,val,0|1|2|3|4,43429,0.23517949045676848,0.08925889582212107,0.9723093963448404,0.9648597090070513,0.9634951125875186,0.9635649556227672,1912.1333074569702
19,val,0|1|2|3|4,43429,0.23025932678473454,0.10179484504240123,0.9688019198818534,0.9619392210579122,0.9603834734477129,0.9603602138440522,1911.5525007247925
20,val,0|1|2|3|4,43429,0.22513623514726264,0.0993628666500819,0.9686173158574857,0.9621745152696131,0.9574537356600612,0.9588373415297301,1911.1965494155884
21,val,0|1|2|3|4,43429,0.22194453025216182,0.09233292007228425,0.9721247923204726,0.9621456839958505,0.9672621757399128,0.9641123282495796,1911.1577820777893
