round,accuracy,precision,recall,f1
1,0.198,0.24446954307307742,0.198,0.1184396274507783
2,0.4345,0.4768491790578699,0.4345,0.37616408139994595
3,0.5015,0.5342740877767087,0.5015,0.45403933138925806
4,0.5105,0.5712613287089199,0.5105,0.4742207337096344
5,0.5125,0.579760403280473,0.5125,0.47541096249673653
6,0.5155,0.5836916118906079,0.5155,0.4766255502526476
7,0.535,0.5941737148399315,0.535,0.49102894342330966
8,0.547,0.6103500011355653,0.547,0.500975402381553
9,0.5535,0.6157057794117345,0.5535,0.5083508859636583
10,0.568,0.6311637285148649,0.568,0.5227495423820097
11,0.5725,0.6323641333222589,0.5725,0.5245284491603054
12,0.584,0.647940241315525,0.584,0.5377865858239806
13,0.5985,0.6649218415423183,0.5985,0.5550315024802769
14,0.612,0.6786177964666805,0.612,0.5699245461508942
15,0.6235,0.6827156834265509,0.6235,0.5812976515562348
16,0.6405,0.6930508021888898,0.6405,0.6010791270837347
17,0.6535,0.6958258098481638,0.6535,0.6145481255268632
18,0.667,0.7025474942523341,0.667,0.6280672452907917
19,0.6835,0.7097287243024462,0.6835,0.6448398075093439
20,0.7005,0.7176975832106663,0.7005,0.6636927458095551
21,0.722,0.7289685680603114,0.722,0.6851510232517836
22,0.731,0.7328156819511407,0.731,0.6930332990720618
23,0.743,0.7341288169150142,0.743,0.7028696483588824
24,0.756,0.7379192221761159,0.756,0.7154660938395879
25,0.764,0.7404161237566793,0.764,0.7237849382268786
26,0.773,0.7438503780563972,0.773,0.7332004886797491
27,0.7835,0.7465819004547685,0.7835,0.7442771445733843
28,0.789,0.7482889672284481,0.789,0.7493195883335629
29,0.7925,0.7501141365119521,0.7925,0.7527085573507388
30,0.7965,0.7512773924731665,0.7965,0.7561829107320015
31,0.7985,0.750293265804525,0.7985,0.7579660973261576
32,0.802,0.7510698468358358,0.802,0.7610566146820612
33,0.8,0.7476984826233382,0.8,0.7591117609102237
34,0.801,0.7472015437817954,0.801,0.7599943737534486
35,0.807,0.750551307731039,0.807,0.7651038481596113
36,0.81,0.8519077139944033,0.81,0.7689757349313322
37,0.814,0.8543276517196696,0.814,0.7740170127299882
38,0.8165,0.8546919135346169,0.8165,0.7770198522874261
39,0.816,0.8545666383860784,0.816,0.7774234457494216
40,0.8185,0.8564710745199612,0.8185,0.7810763175966813
41,0.8235,0.8590726958602698,0.8235,0.7889948579645925
42,0.825,0.8596825618374005,0.825,0.7905427800750779
43,0.8265,0.8599631256093575,0.8265,0.7937168037606421
44,0.8305,0.8625100264527635,0.8305,0.7990970423654702
45,0.8335,0.8642200194241362,0.8335,0.8029483048523414
46,0.8355,0.8660775184647708,0.8355,0.8054552820803078
47,0.8385,0.8678439748821664,0.8385,0.808722722385532
48,0.84,0.8685991665269291,0.84,0.8111869590457275
49,0.8415,0.8698300896696142,0.8415,0.813105763480743
50,0.8425,0.8672657105633482,0.8425,0.8141508348801287
