round,accuracy,precision,recall,f1
1,0.6412213740458015,0.7027778537835715,0.5898234725964434,0.5935205944837134
2,0.7435114503816794,0.7556224139067702,0.7120533571543873,0.7209714397817761
3,0.7927480916030535,0.7874963234199828,0.7633452629290753,0.7711178848290545
4,0.8122137404580153,0.8091886808493274,0.7854106413442196,0.7918326466036442
5,0.8240458015267176,0.8172569749970511,0.7998452375736246,0.8056838650920312
6,0.8270992366412214,0.8187022539520845,0.8040013659885545,0.8085178076759181
7,0.8354961832061069,0.8256218666691617,0.8128095813051641,0.8166289810505405
8,0.8358778625954199,0.8265948273163356,0.8141013399432383,0.8181856333355669
9,0.8389312977099237,0.8317387209350801,0.8187151590589691,0.8226846970109307
10,0.8465648854961833,0.8356044961045731,0.8269675009923723,0.8293433287599595
