Round,Accuracy,Precision,Recall,F1-Score
1,0.6507633587786259,0.6570542272469078,0.588606748295724,0.580148935989828
2,0.749236641221374,0.7685711821292968,0.6952623362553207,0.6984598306311285
3,0.7870229007633588,0.7914847530328025,0.7473634164010637,0.7544723125295987
4,0.8022900763358779,0.7972393028112933,0.7687501380276529,0.7740081542213358
5,0.8122137404580153,0.8086193182683069,0.7810519787537541,0.7873942598350093
6,0.832442748091603,0.8244724559549924,0.8072913299461173,0.8131028851532328
7,0.8293893129770993,0.8211869094311695,0.8060525769192614,0.80887166944159
8,0.8400763358778626,0.8302878437647501,0.8186178888422393,0.8215440709997454
9,0.8385496183206107,0.8278648300968653,0.816910638122356,0.8197700466215785
10,0.8473282442748091,0.8374941368490724,0.826099315102196,0.828824475555802
