Round,Accuracy,Precision,Recall,F1_Score,Time_sec
1,0.0576,0.0033,0.0576,0.0063,1148.7
2,0.9194,0.8460,0.9194,0.8812,1133.4
3,0.0576,0.0033,0.0576,0.0063,949.2
4,0.0576,0.0033,0.0576,0.0063,956.9
5,0.0576,0.0033,0.0576,0.0063,945.1
6,0.0576,0.0033,0.0576,0.0063,945.9
7,0.0576,0.0033,0.0576,0.0063,942.3
8,0.0576,0.0033,0.0576,0.0063,932.2
9,0.0576,0.0033,0.0576,0.0063,944.2
10,0.0576,0.0033,0.0576,0.0063,943.0
11,0.0576,0.0033,0.0576,0.0063,942.6
12,0.0576,0.0033,0.0576,0.0063,970.5
13,0.0576,0.0033,0.0576,0.0063,964.8
14,0.0576,0.0033,0.0576,0.0063,980.0
15,0.0576,0.0033,0.0576,0.0063,1038.7
16,0.0576,0.0033,0.0576,0.0063,980.9
17,0.0576,0.0033,0.0576,0.0063,983.9
18,0.0576,0.0033,0.0576,0.0063,976.7
19,0.0576,0.0033,0.0576,0.0063,989.3
20,0.0576,0.0033,0.0576,0.0063,987.5
21,0.0576,0.0033,0.0576,0.0063,985.2
22,0.0576,0.0033,0.0576,0.0063,1033.9
23,0.0576,0.0033,0.0576,0.0063,971.2
24,0.0576,0.0033,0.0576,0.0063,990.7
25,0.0576,0.0033,0.0576,0.0063,983.9
26,0.0576,0.0033,0.0576,0.0063,985.9
27,0.0576,0.0033,0.0576,0.0063,981.5
28,0.0576,0.0033,0.0576,0.0063,962.5
29,0.0576,0.0033,0.0576,0.0063,993.0
30,0.0576,0.0033,0.0576,0.0063,988.9
31,0.0576,0.0033,0.0576,0.0063,973.6
32,0.0576,0.0033,0.0576,0.0063,981.5
33,0.0576,0.0033,0.0576,0.0063,989.8
34,0.0576,0.0033,0.0576,0.0063,991.5
35,0.0576,0.0033,0.0576,0.0063,991.8
36,0.0576,0.0033,0.0576,0.0063,979.9
37,0.0576,0.0033,0.0576,0.0063,969.6
38,0.0576,0.0033,0.0576,0.0063,959.1
39,0.0576,0.0033,0.0576,0.0063,985.5
40,0.0576,0.0033,0.0576,0.0063,992.0
41,0.0576,0.0033,0.0576,0.0063,1002.6
42,0.0576,0.0033,0.0576,0.0063,996.8
43,0.0576,0.0033,0.0576,0.0063,985.0
